#  Table rgs12o12_b50_11_0134521801.lc[1]  Wed 15:45:08 27-Nov-2013

#   TIME     RATE1    ERROR1 
#    s      count/s   count/s 
              
   6900     4.35      0.37 
   6950     4.73      0.34 
   6999     3.82      0.34 
   7049     4.50      0.30 
   7099     4.41      0.37 
   7150     4.61      0.33 
   7199     4.53      0.36 
   7249     4.26      0.28 
   7299     4.11      0.34 
   7349     4.87      0.33 
   7399     4.63      0.37 
   7449     4.14      0.30 
   7500     4.26      0.41 
   7550     4.82      0.32 
   7600     4.31      0.37 
   7650     4.57      0.30 
   7700     3.61      0.33 
   7750     4.60      0.31 
   7800     4.16      0.39 
   7849     4.79      0.32 
   7900     4.58      0.36 
   7950     4.54      0.29 
   8000     4.25      0.40 
   8050     4.93      0.32 
   8099     4.77      0.35 
   8150     4.53      0.28 
   8199     4.20      0.35 
   8249     4.27      0.38 
   8300     4.71      0.36 
   8349     3.92      0.27 
   8400     4.02      0.32 
   8449     4.50      0.28 
   8499     4.76      0.35 
   8550     4.58      0.34 
   8599     4.79      0.36 
   8649     3.83      0.27 
   8699     4.39      0.38 
   8750     5.05      0.35 
   8800     4.57      0.39 
   8850     4.85      0.32 
   8900     4.47      0.38 
   8949     4.43      0.34 
   9000     4.30      0.35 
   9050     4.03      0.33 
   9099     4.96      0.55 
   9150     4.63      0.38 
   9199     4.20      0.57 
   9250     4.46      0.46 
   9300     4.69      0.56 
   9349     4.24      0.31 
   9400     3.69      0.37 
   9449     4.65      0.35 
   9499     5.26      0.58 
   9550     4.74      0.38 
   9599     4.98      0.46 
   9650     4.42      0.39 
   9699     5.20      0.50 
   9749     5.37      0.39 
   9800     5.74      0.54 
   9849     5.41      0.40 
   9899     4.80      0.45 
   9949     5.31      0.41 
  10000     5.46      0.54 
  10050     5.38      0.46 
  10100     3.85      0.55 
  10150     4.97      0.44 
  10200     5.40      0.56 
  10250     4.92      0.41 
  10300     5.12      0.57 
  10350     4.92      0.50 
  10400     4.51      0.38 
  10450     4.64      0.33 
  10500     4.09      0.41 
  10550     4.40      0.31 
  10600     4.90      0.41 
  10650     4.57      0.32 
  10700     4.59      0.39 
  10750     4.47      0.35 
  10800     4.67      0.41 
  10850     4.47      0.35 
  10900     5.48      0.59 
  10950     4.75      0.49 
  11000     4.13      0.59 
  11050     3.73      0.48 
  11100     4.54      0.53 
  11150     4.48      0.40 
  11200     4.68      0.49 
  11250     4.56      0.38 
  11300     4.24      0.54 
  11350     4.97      0.41 
  11400     4.37      0.47 
  11450     5.16      0.36 
  11500     3.96      0.50 
  11550     4.88      0.38 
  11600     4.92      0.57 
  11650     3.79      0.38 
  11700     4.51      0.39 
  11750     4.45      0.34 
  11800     4.58      0.42 
  11850     4.14      0.35 
  11900     4.64      0.52 
  11950     5.25      0.36 
  12000     5.02      0.39 
  12050     4.29      0.28 
  12100     3.50      0.32 
  12150     4.69      0.31 
  12200     4.40      0.39 
  12250     4.58      0.31 
  12300     4.61      0.42 
  12350     4.35      0.31 
  12400     4.01      0.39 
  12450     4.34      0.32 
  12500     3.37      0.37 
  12550     4.20      0.30 
  12600     4.35      0.37 
  12650     4.84      0.31 
  12700     4.59      0.39 
  12750     3.76      0.32 
  12800     3.67      0.40 
  12850     3.57      0.32 
  12900     4.61      0.41 
  12950     4.33      0.33 
  13000     3.95      0.40 
  13050     4.74      0.39 
  13100     4.26      0.39 
  13150     4.22      0.31 
  13200     4.23      0.39 
  13250     4.27      0.34 
  13300     3.74      0.45 
  13350     4.52      0.35 
  13400     4.42      0.44 
  13450     4.11      0.37 
  13500     4.27      0.48 
  13550     4.78      0.37 
  13600     4.51      0.50 
  13650     3.89      0.35 
  13700     4.03      0.35 
  13750     3.55      0.28 
  13800     3.84      0.34 
  13850     4.32      0.29 
  13900     3.60      0.33 
  13950     3.94      0.28 
  14000     3.59      0.34 
  14050     4.33      0.31 
  14100     3.81      0.37 
  14150     3.62      0.33 
  14200     4.08      0.37 
  14250     4.14      0.28 
  14300     3.99      0.34 
  14350     4.43      0.33 
  14400     3.75      0.39 
  14450     4.26      0.36 
  14500     3.39      0.44 
  14550     4.31      0.35 
  14600     3.49      0.39 
  14650     4.29      0.41 
  14700     3.78      0.47 
  14750     4.37      0.45 
  14800     3.22      0.51 
  14850     3.84      0.41 
  14900     4.37      0.37 
  14950     3.75      0.31 
  15000     3.45      0.38 
  15050     3.14      0.37 
  15100     4.59      0.49 
  15150     4.26      0.39 
  15200     4.44      0.49 
  15250     4.23      0.35 
  15300     4.28      0.45 
  15350     3.87      0.30 
  15400     3.63      0.37 
  15450     4.12      0.30 
  15500     4.49      0.40 
  15550     5.28      0.37 
  15600     3.82      0.48 
  15650     4.02      0.42 
  15700     4.00      0.51 
  15750     3.49      0.37 
  15800     4.82      0.53 
  15850     4.35      0.37 
  15900     3.73      0.40 
  15950     3.70      0.39 
  16000     3.40      0.62 
  16050     4.60      0.50 
  16100     4.51      0.60 
  16150     4.07      0.44 
  16200     4.00      0.49 
  16250     3.19      0.48 
  16300     3.49      0.60 
  16350     4.89      0.41 
  16400     4.51      0.47 
  16450     4.42      0.41 
  16500     4.55      0.50 
  16550     3.68      0.44 
  16600     2.66      0.49 
  16650     3.81      0.39 
  16700     5.08      0.54 
  16750     4.24      0.47 
  16800     3.05      0.49 
  16850     3.70      0.42 
  16900     4.59      0.49 
  16950     3.86      0.37 
  17000     4.02      0.49 
  17050     3.47      0.46 
  17100     4.05      0.55 
  17150     3.42      0.42 
  17200     3.72      0.48 
  17250     3.09      0.40 
  17300     3.88      0.50 
  17350     3.72      0.42 
  17400     3.73      0.50 
  17450     4.28      0.42 
  17500     4.02      0.52 
  17550     3.36      0.38 
  17600     4.18      0.46 
  17650     4.15      0.38 
  17700     4.39      0.54 
  17750     4.33      0.42 
  17800     4.21      0.50 
  17850     3.53      0.44 
  17900     3.90      0.62 
  17950     3.86      0.29 
  18000     3.76      0.33 
  18050     3.59      0.28 
  18100     3.42      0.48 
  18150     3.55      0.39 
  18200     3.33      0.33 
  18250     3.80      0.29 
  18300     3.97      0.42 
  18350     3.62      0.39 
  18400     3.17      0.47 
  18450     3.53      0.35 
  18500     3.05      0.36 
  18550     3.61      0.39 
  18600     3.96      0.50 
  18650     3.30      0.31 
  18700     3.90      0.43 
  18750     3.41      0.43 
  18800     3.50      0.49 
  18850     3.72      0.38 
  18900     4.76      0.53 
  18950     3.20      0.34 
  19000     3.02      0.36 
  19050     4.05      0.40 
  19100     3.78      0.47 
  19150     3.33      0.44 
  19200     4.49      0.50 
  19250     3.37      0.27 
  19300     3.54      0.35 
  19350     3.04      0.30 
  19400     3.35      0.32 
  19450     3.69      0.33 
  19500     2.79      0.42 
  19550     4.07      0.36 
  19600     3.00      0.42 
  19650     3.82      0.34 
  19700     3.60      0.49 
  19750     3.83      0.33 
  19800     2.98      0.39 
  19850     3.74      0.62 
